original_category,clean_category
3-6 Years,Family
4-for-3 DVD,
7-11 Years,Family
20th Century Fox Home Entertainment,
A&E Home Video,
ABC TV Shows,TV
Action,Action
Action & Adventure,Action
Adventure,Adventure
Adventures,Adventure
Aerosmith,
African American Cinema,African American Cinema
"Aguilera, Christina",
Alien Invasion,Sci-Fi
Aliens,Sci-Fi
All,
All A&E Titles,
All BBC Titles,
All Disney Titles,
All Fox Titles,
All HBO Titles,
All Lionsgate Titles,
All MGM Titles,
All Made-for-TV Movies,
All Sony Pictures Titles,
All Titles,
All Universal Studios Titles,
Ambitious,
Anchor Bay Deals,
Animation,Animation
Anime,Animation
Anime & Manga,Animation
Anxious,
Arthouse,Arthouse
Art House & International,Arthouse
"Arts, Entertainment, and Culture",
Atmospheric,
Award Winners in Movies & TV,
BBC,
Batman Animated Movies,Animation
Beautiful,
Best of 2013,
Biting,
Bleak,
Blaxploitation,Blaxploitation
Blu-ray,
Bold,
Bon Jovi,
"Bowie, David",
Boxed Sets,
Broadway,Musical
By Age,
Campy,
Cerebral,
Characters & Series,
Charming,
Cheerful,Comedy
Christmas,Holiday
"Clapton, Eric",
Classics,Classics
Classics Kids Love,Family
Coarse,
Comedy,Comedy
Compelling,
Confused,
Contemplative,
Criterion Collection,
Cult Movies,Cult
DC Comics Collection,Comic Book
DVD,
Dance & Music,Musical
Dark,
Disc on Demand,
Disney Channel,TV
Disney Channel Series,TV
Disney Home Video,
Documentary,Documentary
Downbeat,
Drama,Drama
DreamWorks,
Dreamlike,
DTS,
Easygoing,
Editor's Picks,
Edifying,
Eerie,Horror
Electrifying,
Emotional,Drama
Enigmatic,
Exciting,
Exotic,
Extended Editions,
Faith & Spirituality,Faith
Faith and Spirituality,Faith
Family Features,Family
Family Friendly,Family
Fantastic,
Fantasy,Fantasy
Father's Day,
Feature Films,
Featured Categories,
Featured Deals & New Releases,
Feel-good,Comedy
First to Know,
Focus Features,
Foreign Films,Foreign
Foreign Spotlight,Foreign
Fox TV,TV
Frightening,Horror
Fully Loaded DVDs,
Fun,Comedy
Futuristic,Sci-Fi
General,
Gentle,
Genre for Featured Categories,
Gift Ideas in Movies & TV,
Godzilla,
Golden Globe Central,
Golden Globe Nominees,
Golden Globe Winners,
Grateful Dead,
Gritty,
HBO,
Hallmark Home Video,
Harrowing,
Harry Potter,
Harry Potter and the Deathly Hallows,
Harry Potter and the Half-Blood Prince,
Harry Potter and the Order of the Phoenix,
Harry Potter and the Sorcerer's Stone,
Haunting,Horror
Heartwarming,Drama
Historical,Historical
"Holiday, Billie",
Holiday,Holiday
Holidays & Seasonal,Holiday
Hollywood Vault,
Horror,Horror
Imaginative,
Independently Distributed,Indie
Infinifilm Edition,
Inspiring,
Intense,
International,Foreign
Introspective,
James Bond,
