node_u,node_v,weight
🏆,👉,251
🏆,💙,63
🏆,🧡,43
👉,💙,169
👉,🧡,71
💙,🧡,502
👉,💩,94
👉,😡,66
💩,😡,322
✅,👬,2
✅,👭,2
✅,💯,910
✅,🔁,68
👬,👭,5
👬,💯,6
👬,🔁,1
👭,💯,3
👭,🔁,1
💯,🔁,13
👉,📢,309
❤,👉,609
❤,🔸,4
👉,🔸,57
⚛,🏅,1
⚛,👉,2
🏅,👉,21
⚽,⬜,40
⚽,🆚,99
⚽,🏆,106
⚽,👉,206
⚽,🔴,125
⚽,🕒,51
⚽,🚨,49
⚽,🟦,61
⬜,🆚,38
⬜,🏆,32
⬜,👉,38
⬜,🔴,36
⬜,🕒,38
⬜,🚨,30
⬜,🟦,35
🆚,🏆,74
🆚,👉,150
🆚,🔴,85
🆚,🕒,51
🆚,🚨,44
🆚,🟦,60
🏆,🔴,52
🏆,🕒,35
🏆,🚨,85
🏆,🟦,31
👉,🔴,361
👉,🕒,52
👉,🚨,297
👉,🟦,64
🔴,🕒,48
🔴,🚨,54
🔴,🟦,58
🕒,🚨,35
🕒,🟦,39
🚨,🟦,30
👉,🚀,381
👉,🔥,970
👉,😂,175
👉,🤡,144
😂,🤡,2473
👈,👉,4127
👉,🤨,14
⭕,👉,41
⬆,👉,46
❤,🎟,20
❤,🐣,3977
❤,🐰,3895
❤,👈,183
🎟,🐣,16
🎟,🐰,42
🎟,👈,2
🎟,👉,65
🐣,🐰,18940
🐣,👈,28
🐣,👉,242
🐰,👈,44
🐰,👉,404
👈,😳,140
👉,😳,174
⏲,👉,5
⏲,💵,2
⏲,🔥,12
⏲,😍,2
👉,💵,68
👉,😍,1576
💵,🔥,73
💵,😍,20
🔥,😍,2290
👉,💰,368
👉,🧊,13
💰,🧊,15
🎲,👇,2
🎲,👉,17
👇,👉,792
⛳,👉,131
🌟,👉,173
🌟,🛒,8
👉,🛒,61
🐣,🥚,6764
🐰,🥚,11228
👉,🥚,332
🆘,👉,18
🆘,💎,1
👉,💎,107
❤,👀,751
❤,💙,1525
❤,💰,127
❤,📍,50
❤,🔥,6308
❤,🙏,6555
👀,👉,425
👀,💙,141
👀,💰,254
👀,📍,23
👀,🔥,1455
👀,🙏,661
👉,📍,89
👉,🙏,290
💙,💰,16
💙,📍,12
💙,🔥,478
💙,🙏,1046
💰,📍,50
💰,🔥,479
💰,🙏,226
📍,🔥,55
📍,🙏,24
🔥,🙏,1537
❤,🌸,532
❤,😍,3924
❤,🤭,280
🌸,👈,15
🌸,👉,54
🌸,😍,193
🌸,🤭,23
👈,😍,124
👈,🤭,21
👉,🤭,40
😍,🤭,259
👇,💖,17
👇,💥,97
👇,😎,162
👇,🥂,22
👉,💖,99
👉,💥,465
👉,😎,339
👉,🥂,33
💖,💥,54
💖,😎,95
💖,🥂,61
💥,😎,192
💥,🥂,24
😎,🥂,71
🐇,👉,164
✅,🏁,22
✅,👉,1079
✅,💰,1543
✅,📈,145
✅,🚀,371
✅,🤑,316
🏁,👉,14
🏁,💰,3
🏁,📈,7
🏁,🚀,3
🏁,🤑,4
👉,📈,118
👉,🤑,146
💰,📈,94
💰,🚀,150
💰,🤑,243
📈,🚀,86
📈,🤑,16
🚀,🤑,111
👈,💥,85
💥,😍,360
▪,👉,43
▪,📎,13
👉,📎,23
⌨,👇,4
⌨,👈,1
⌨,👉,5
👇,👈,69
ℹ,👉,37
‼,✅,371
‼,👇,75
‼,👉,138
‼,🤑,35
✅,👇,938
👇,🤑,68
👉,🔵,51
🌾,👉,9
👉,🔮,35
🔮,🚀,29
👇,🔥,471
👈,🥺,604
👉,🥺,605
🎥,👉,89
👉,📅,67
📅,📢,19
📅,🔥,17
📢,🔥,85
👉,💼,38
👉,🤩,284
💼,🤩,3
✝,🌟,55
✝,👉,27
✝,💪,28
✝,🙌,155
✝,🙏,1721
🌟,💪,49
🌟,🙌,80
🌟,🙏,279
👉,💪,147
👉,🙌,142
💪,🙌,205
💪,🙏,702
🙌,🙏,1102
👉,💃,55
💃,😍,157
💃,🙏,170
💃,🤩,84
😍,🙏,1156
😍,🤩,966
🙏,🤩,381
♻,❤,92
♻,🎁,22
♻,👉,51
♻,💰,8
♻,🔗,5
♻,😳,4
♻,🚀,11
♻,🤩,7
❤,🎁,424
❤,🔗,146
❤,😳,222
❤,🚀,266
