node,pagerank,hub,authority,degree,strength,community,modularity_Q_global
❤,0.03531555240992529,0.03789134774609424,0.037891347746094255,198,122114.0,5,0.28561846043186595
🐰,0.02844016476178692,0.06419541922803908,0.06419541922803904,134,108975.0,6,0.28561846043186595
🐣,0.027891386190506805,0.06467088891707017,0.06467088891707007,124,107618.0,6,0.28561846043186595
🙏,0.025094221738728197,0.028152892362248775,0.028152892362248806,167,88463.0,1,0.28561846043186595
🔥,0.02225601948248706,0.01610769940387608,0.0161076994038761,168,71823.0,0,0.28561846043186595
🥰,0.022054420985195312,0.024112919543761595,0.02411291954376161,167,76073.0,5,0.28561846043186595
🐇,0.02093503471242096,0.05054303478496203,0.05054303478496203,116,79494.0,6,0.28561846043186595
😂,0.018470876528181242,0.01258760279496677,0.012587602794966762,121,62945.0,4,0.28561846043186595
😍,0.01807079291087358,0.016814892793842965,0.016814892793842993,157,61331.0,5,0.28561846043186595
🥚,0.016427279241844773,0.04076753694500319,0.04076753694500316,112,61480.0,6,0.28561846043186595
🎉,0.015648208374557226,0.014294499455842961,0.014294499455842925,122,53991.0,0,0.28561846043186595
🤣,0.015285908008262218,0.009946713809447562,0.009946713809447588,114,51455.0,4,0.28561846043186595
🥳,0.014592343698325188,0.011673241339965258,0.011673241339965265,127,50158.0,0,0.28561846043186595
🏻,0.014241367697902648,0.012155893451756727,0.012155893451756722,138,48369.0,1,0.28561846043186595
✨,0.01339565654872438,0.013908678591774207,0.013908678591774217,138,45665.0,5,0.28561846043186595
😭,0.013167552984069839,0.008138695734086347,0.00813869573408635,105,42421.0,4,0.28561846043186595
👍,0.01278725861094488,0.011094418003991881,0.01109441800399188,132,44082.0,4,0.28561846043186595
✅,0.010747088433478637,0.005841796940613481,0.005841796940613477,90,32128.0,0,0.28561846043186595
😘,0.009873498568512641,0.012380416558989901,0.012380416558989903,120,34065.0,5,0.28561846043186595
😅,0.00909100691805319,0.005507002878817585,0.005507002878817594,104,28752.0,4,0.28561846043186595
😎,0.008997744846479777,0.007741757480908266,0.007741757480908266,111,30313.0,4,0.28561846043186595
😊,0.008978767949528616,0.011898851980636182,0.011898851980636192,106,31655.0,6,0.28561846043186595
☀,0.008940181220561111,0.010435470811558352,0.010435470811558349,99,31321.0,6,0.28561846043186595
😇,0.008693926461251675,0.008264700656833343,0.008264700656833344,110,29285.0,1,0.28561846043186595
👉,0.008529061888111566,0.004855301764130898,0.004855301764130901,85,24772.0,0,0.28561846043186595
😉,0.008432194519609375,0.007996825316512463,0.007996825316512461,103,28784.0,4,0.28561846043186595
🤗,0.00833097166313646,0.012541987673651438,0.012541987673651438,92,30380.0,6,0.28561846043186595
💯,0.008256440505523564,0.006356563729902527,0.006356563729902531,106,26930.0,0,0.28561846043186595
👀,0.008048428889604173,0.005140007745515263,0.005140007745515269,105,22975.0,0,0.28561846043186595
💙,0.007946847008244452,0.0100827837234032,0.010082783723403203,97,28031.0,5,0.28561846043186595
😋,0.007943279712126439,0.005933106959266841,0.005933106959266848,96,24707.0,5,0.28561846043186595
🌷,0.00793811768081349,0.019201683730435053,0.019201683730435036,69,29420.0,6,0.28561846043186595
💕,0.007638002200604233,0.01177460331096383,0.011774603310963833,92,27638.0,6,0.28561846043186595
💜,0.007614982972491765,0.010690432463042378,0.010690432463042375,93,27133.0,5,0.28561846043186595
☺,0.007551574589114037,0.007662606046099272,0.007662606046099276,95,25633.0,5,0.28561846043186595
🥹,0.007441712178848769,0.006810961706010026,0.006810961706010033,79,25085.0,4,0.28561846043186595
🫶,0.007261222369422528,0.007548886048024856,0.0075488860480248665,84,24324.0,1,0.28561846043186595
♀,0.006833216005662252,0.005345337909129975,0.0053453379091299765,83,22726.0,1,0.28561846043186595
🥵,0.006825461830756137,0.0045735780881346645,0.004573578088134673,78,20537.0,0,0.28561846043186595
🏾,0.006649162766090211,0.004499128855632504,0.004499128855632501,83,20217.0,1,0.28561846043186595
🏼,0.00661185782673581,0.006840033332224646,0.006840033332224646,87,22590.0,1,0.28561846043186595
🤔,0.006475350112606499,0.0037167092184944702,0.003716709218494472,88,20081.0,4,0.28561846043186595
🤍,0.006365732051033893,0.007623608455222014,0.007623608455222018,78,22035.0,5,0.28561846043186595
💖,0.006193051807528001,0.008392052169239331,0.008392052169239337,83,21332.0,5,0.28561846043186595
🏽,0.006161859964182261,0.005366037975308077,0.005366037975308078,79,20317.0,1,0.28561846043186595
🌸,0.005881760571862506,0.012028948202402228,0.012028948202402223,62,20984.0,6,0.28561846043186595
🤡,0.005713952331877843,0.002118005068410362,0.0021180050684103664,45,16537.0,4,0.28561846043186595
♂,0.0056025759145014835,0.0033843167632467068,0.0033843167632467063,61,18082.0,1,0.28561846043186595
💚,0.005271993376584846,0.006203971534941601,0.006203971534941604,79,17143.0,5,0.28561846043186595
✔,0.005157272490083524,0.0025818679427592733,0.002581867942759272,58,15183.0,0,0.28561846043186595
🙌,0.005059708891950484,0.005691212219051311,0.005691212219051312,66,17298.0,1,0.28561846043186595
😤,0.005026914223647026,0.0019839118708491776,0.001983911870849182,69,14265.0,4,0.28561846043186595
😡,0.004935036044452145,0.0013178069755241722,0.001317806975524174,53,12764.0,4,0.28561846043186595
🤩,0.004933933473810754,0.00451186692501568,0.004511866925015683,77,15655.0,5,0.28561846043186595
🏆,0.004928071503636958,0.0021438342324906446,0.002143834232490653,27,14486.0,0,0.28561846043186595
💫,0.0048781753373860716,0.002868848504122389,0.002868848504122391,75,12009.0,3,0.28561846043186595
🍳,0.004823874985233022,0.0028894625420351947,0.002889462542035195,50,12442.0,1,0.28561846043186595
💪,0.004771683777384445,0.0036883587379309283,0.0036883587379309283,70,14893.0,1,0.28561846043186595
👏,0.004705807634180277,0.0045147436172544575,0.004514743617254458,66,15971.0,0,0.28561846043186595
😁,0.004652728067792334,0.005176230161694773,0.005176230161694777,70,15695.0,4,0.28561846043186595
🌹,0.0046195161058058334,0.006519363961823041,0.00651936396182304,71,15866.0,6,0.28561846043186595
💛,0.0046121902888709996,0.007324910456418864,0.007324910456418863,60,15808.0,5,0.28561846043186595
💐,0.004597362165495568,0.009979513854216223,0.009979513854216221,57,16517.0,6,0.28561846043186595
👻,0.004557489703980107,0.001092738299091972,0.001092738299091973,40,6823.0,2,0.28561846043186595
😨,0.004363805447396133,0.0011507033836062322,0.0011507033836062337,46,9891.0,4,0.28561846043186595
💩,0.004301935289310738,0.0013927309642022827,0.001392730964202284,41,11963.0,4,0.28561846043186595
🖤,0.004281337022739783,0.0035762209476256045,0.003576220947625605,61,12056.0,5,0.28561846043186595
🫡,0.004137109881936864,0.0032891692860602386,0.0032891692860602417,64,13012.0,0,0.28561846043186595
🥺,0.0041365950225987725,0.0030557244727716635,0.003055724472771668,57,12481.0,4,0.28561846043186595
✌,0.004060921299143991,0.003352365385371351,0.0033523653853713533,64,11774.0,1,0.28561846043186595
☕,0.003961006955278496,0.005964230055868304,0.005964230055868309,51,13553.0,6,0.28561846043186595
✝,0.0039593857840709975,0.009643723828444029,0.009643723828444029,44,13806.0,6,0.28561846043186595
🐥,0.003954115734215646,0.010185173426511625,0.010185173426511618,42,13544.0,6,0.28561846043186595
🎂,0.003942037563222275,0.0036802962416815177,0.00368029624168151,34,12958.0,0,0.28561846043186595
🍫,0.0038215086271518066,0.010064243223089468,0.010064243223089464,43,12967.0,6,0.28561846043186595
💰,0.0037695387541163165,0.0016961659842007364,0.0016961659842007321,33,10101.0,0,0.28561846043186595
🎶,0.0037430869630522773,0.003221597492659581,0.0032215974926595847,53,8913.0,3,0.28561846043186595
👌,0.003693204022864458,0.002683318310214518,0.002683318310214518,60,11335.0,4,0.28561846043186595
🫠,0.0036916216862035592,0.002087184205133739,0.002087184205133742,56,10523.0,4,0.28561846043186595
💗,0.003612602210953688,0.005015893263807736,0.0050158932638077365,51,11986.0,5,0.28561846043186595
🖕,0.0035694294491817307,0.001344725470686062,0.0013447254706860615,39,10164.0,4,0.28561846043186595
🤷,0.003533117964007948,0.0016736457574423578,0.001673645757442361,29,11030.0,1,0.28561846043186595
💀,0.0034342134639815166,0.0018980564888268876,0.001898056488826893,34,9993.0,4,0.28561846043186595
🎊,0.0034068822943679406,0.003374851297467357,0.003374851297467354,33,10823.0,0,0.28561846043186595
😆,0.0033952297599523003,0.002533045349926447,0.002533045349926446,53,10290.0,4,0.28561846043186595
🤦,0.0033889843220681875,0.0012716553413921808,0.0012716553413921834,27,10232.0,1,0.28561846043186595
👇,0.0032798279955763765,0.0023022533386198624,0.002302253338619862,43,9370.0,0,0.28561846043186595
💞,0.0032764504447445443,0.003956441904173291,0.003956441904173294,51,9943.0,5,0.28561846043186595
💋,0.003192152678101516,0.003086825589142865,0.003086825589142866,55,9325.0,5,0.28561846043186595
🥲,0.0031626049980160156,0.0019023603780117914,0.001902360378011795,45,8920.0,4,0.28561846043186595
😌,0.003107433247708228,0.0018373004905236304,0.0018373004905236313,53,8308.0,5,0.28561846043186595
🔔,0.0030895433574493376,0.000896642491610418,0.0008966424916104121,10,8283.0,0,0.28561846043186595
😳,0.0030152088389889357,0.0012043402156355972,0.0012043402156355968,49,7911.0,4,0.28561846043186595
🌼,0.002987464083848563,0.005926138383573119,0.005926138383573115,38,9822.0,6,0.28561846043186595
💬,0.0029813467349529598,2.294117179988752e-05,2.2941171799887622e-05,10,2336.0,2,0.28561846043186595
♥,0.0029804735551978148,0.004212866314198991,0.004212866314198993,48,9637.0,5,0.28561846043186595
🐘,0.00297778091523337,2.2597644301800305e-05,2.2597644301799915e-05,10,2327.0,2,0.28561846043186595
👩,0.002961310968330917,0.0014672070816566154,0.0014672070816566147,34,6660.0,1,0.28561846043186595
👨,0.002953707960714649,0.0012109159625746805,0.0012109159625746796,33,6512.0,1,0.28561846043186595
👑,0.0029536423484876322,0.0021123142803005962,0.002112314280300597,48,7350.0,1,0.28561846043186595
💥,0.0028251872389339966,0.001837139015238764,0.0018371390152387638,43,7910.0,0,0.28561846043186595
🎁,0.002814028391649245,0.0026140223415164958,0.0026140223415164893,27,8309.0,0,0.28561846043186595
⤵,0.0027542789166437633,0.0007630641366622433,0.0007630641366622378,7,7175.0,0,0.28561846043186595
🌻,0.0027351435810164786,0.004142936894792357,0.004142936894792355,42,8620.0,6,0.28561846043186595
🍀,0.0027035722460664446,0.002807436910192658,0.002807436910192658,41,6460.0,6,0.28561846043186595
🌺,0.002631068582685133,0.004549693284477843,0.004549693284477841,36,8379.0,6,0.28561846043186595
🕊,0.0026283158206506186,0.004403350037398057,0.004403350037398056,37,8300.0,6,0.28561846043186595
🎈,0.002540880987412969,0.002118256922837822,0.00211825692283782,23,7497.0,0,0.28561846043186595
🤭,0.0025260185942580895,0.0018707443200623867,0.0018707443200623875,43,7213.0,4,0.28561846043186595
🤬,0.002462563183053405,0.00036808842846873757,0.00036808842846873735,25,5773.0,4,0.28561846043186595
👈,0.0024537816387484143,0.0008733092235712773,0.0008733092235712742,16,6427.0,0,0.28561846043186595
‼,0.0024300007629724507,0.0018933025350200744,0.0018933025350200744,41,6564.0,0,0.28561846043186595
😜,0.0024010706856291936,0.0014297349519704638,0.001429734951970465,37,5918.0,4,0.28561846043186595
🌞,0.0023309338413877887,0.004109356859286539,0.004109356859286541,38,7186.0,6,0.28561846043186595
😀,0.0023090631206987835,0.0021561816842036374,0.0021561816842036352,37,6407.0,4,0.28561846043186595
🙄,0.0022789356255129927,0.0007725721236646263,0.000772572123664627,31,5732.0,4,0.28561846043186595
😩,0.002271440764482104,0.0011864370528502975,0.0011864370528502997,30,5848.0,4,0.28561846043186595
😄,0.002236961456759683,0.0016790320266818093,0.001679032026681807,37,5913.0,4,0.28561846043186595
😱,0.0021866777451649993,0.0006312988814293078,0.0006312988814293082,28,4529.0,4,0.28561846043186595
🐾,0.0021612422292471506,0.004221760906277421,0.004221760906277423,26,6052.0,6,0.28561846043186595
💨,0.0021478088419745593,0.000673673816261716,0.0006736738162617174,27,4926.0,4,0.28561846043186595
🧡,0.0021391091441663084,0.002649587198180221,0.0026495871981802224,30,6057.0,5,0.28561846043186595
🚀,0.002087477936430327,0.001654941827786907,0.0016549418277869048,26,5409.0,0,0.28561846043186595
🌜,0.002061833515080449,1.3404905364773537e-05,1.3404905364773448e-05,9,1435.0,2,0.28561846043186595
💓,0.002043217299672601,0.002096449447511437,0.002096449447511438,35,5281.0,5,0.28561846043186595
👋,0.0020340827339579014,0.002182423917699522,0.002182423917699526,37,5493.0,5,0.28561846043186595
🐤,0.001990930487048719,0.004846063410503642,0.004846063410503639,21,5909.0,6,0.28561846043186595
🌈,0.0019611549201567044,0.0028430056766123985,0.002843005676612397,34,5561.0,6,0.28561846043186595
😃,0.0019424400883737577,0.0024403715274264833,0.0024403715274264872,33,5354.0,4,0.28561846043186595
😮,0.0018597827820904208,0.0004837863179552748,0.00048378631795527544,18,3971.0,4,0.28561846043186595
🏠,0.001840797782455676,6.172935782313326e-06,6.172935782313516e-06,7,1153.0,2,0.28561846043186595
🤪,0.0017906179184276466,0.0008595565675591117,0.0008595565675591127,25,4310.0,4,0.28561846043186595
🌟,0.0017590095876847706,0.00212150985676277,0.0021215098567627694,29,4479.0,5,0.28561846043186595
🎵,0.001743866501638488,0.00033409514786135713,0.0003340951478613572,15,1894.0,3,0.28561846043186595
💦,0.0017434804541261713,0.0007492057723006603,0.0007492057723006603,23,3196.0,5,0.28561846043186595
💎,0.001743041157377486,0.0008020070964496049,0.0008020070964496049,25,3500.0,1,0.28561846043186595
🌍,0.0017188837015750663,0.00025517842352254516,0.0002551784235225447,16,1649.0,3,0.28561846043186595
🌛,0.0016951079953439173,1.1571116110279442e-05,1.1571116110281434e-05,7,1108.0,2,0.28561846043186595
🦋,0.0016849190058175051,0.0022186817801914164,0.0022186817801914164,29,4430.0,6,0.28561846043186595
💘,0.001676676109429022,0.0007775530510510387,0.0007775530510510398,28,3702.0,5,0.28561846043186595
🤯,0.0016702315652092653,0.00064752353160727,0.0006475235316072702,25,3591.0,4,0.28561846043186595
💝,0.0016655081331393884,0.0023067326224236145,0.0023067326224236132,27,4322.0,5,0.28561846043186595
🙈,0.0016485403928483374,0.0003334462615408286,0.00033344626154082816,14,1737.0,2,0.28561846043186595
🥂,0.0016472061009664108,0.0016000473097806502,0.0016000473097806487,22,3996.0,0,0.28561846043186595
🙉,0.0016323004074368594,5.0455350464927424e-06,5.045535046492748e-06,8,969.0,2,0.28561846043186595
😝,0.0016310816299341278,0.0005370516670375455,0.0005370516670375446,24,3405.0,4,0.28561846043186595
💭,0.0016251687072364124,0.0001753087244705618,0.00017530872447056183,19,2450.0,1,0.28561846043186595
🔗,0.0016167307801552722,0.0005657147136511216,0.0005657147136511213,17,3431.0,1,0.28561846043186595
💌,0.0016107174285090499,0.0006196990143313914,0.0006196990143313908,25,3009.0,5,0.28561846043186595
🙋,0.0016104961150356686,0.0018334088837292082,0.001833408883729211,23,4050.0,1,0.28561846043186595
🎧,0.001599694280281499,9.006326861381028e-05,9.006326861381036e-05,12,1319.0,3,0.28561846043186595
🫂,0.0015801128356549802,0.001906890634266429,0.0019068906342664287,25,3981.0,5,0.28561846043186595
📚,0.001579608642745557,0.0002522581102114521,0.0002522581102114524,19,2316.0,1,0.28561846043186595
😵,0.0015765060740881298,0.00027587707378335324,0.0002758770737833532,15,2945.0,3,0.28561846043186595
🪺,0.0015530904610250064,0.003852265243755053,0.003852265243755051,16,4119.0,6,0.28561846043186595
🙂,0.001549716795060701,0.0016543069022468915,0.001654306902246891,27,3714.0,4,0.28561846043186595
♦,0.0015489498797029817,0.00010446696638665282,0.0001044669663866527,17,2069.0,1,0.28561846043186595
🚑,0.0015445911300891618,0.00010353838654735493,0.00010353838654735513,17,2057.0,1,0.28561846043186595
🥞,0.0015307821631553357,0.00011504759988240639,0.00011504759988240709,16,2117.0,1,0.28561846043186595
🤨,0.0015265148159786719,0.00039696662044899205,0.0003969666204489933,23,3079.0,4,0.28561846043186595
😈,0.0015246334892638934,0.0007545978128733667,0.0007545978128733673,21,3254.0,0,0.28561846043186595
🤝,0.0015117821559785189,0.0008786113729049796,0.0008786113729049802,23,3502.0,0,0.28561846043186595
😻,0.0015069010496229513,0.0014266532562862044,0.0014266532562862047,21,2891.0,5,0.28561846043186595
